file,inst number,r,inst type,problemtype,model,algorithm,z,best lp,root bound,opened facilities,lazy cuts conenctivity,lazy cuts cost,user cuts cost,node count,time,status,z*,gap z*,gap z lp,id code
datap/pmed1.txt,1,80,pmed,MPIF,SW,nobenders,6168,6168,0,0,0,0,0,85,4.362326,101,6168,0,0,1-80
datap/pmed2.txt,2,150,pmed,MPIF,SW,nobenders,4298,4298,0,0,0,0,0,0,0.187727,101,4298,0,0,2-150
datap/pmed2.txt,2,100,pmed,MPIF,SW,nobenders,4346,4345.583311,0,0,0,0,0,42,1.120917,102,4346,0,9.58787E-05,2-100
datap/pmed2.txt,2,80,pmed,MPIF,SW,nobenders,4419,4419,0,0,0,0,0,255,3.419854,101,4419,0,0,2-80
datap/pmed3.txt,3,150,pmed,MPIF,SW,nobenders,4282,4282,0,0,0,0,0,0,0.116847,101,4282,0,0,3-150
datap/pmed3.txt,3,100,pmed,MPIF,SW,nobenders,4307,4307,0,0,0,0,0,0,0.412844,101,4307,0,0,3-100
datap/pmed3.txt,3,80,pmed,MPIF,SW,nobenders,4582,4582,0,0,0,0,0,379,19.695679,101,4582,0,0,3-80
datap/pmed4.txt,4,150,pmed,MPIF,SW,nobenders,3034,3034,0,0,0,0,0,0,0.127557,101,3034,0,0,4-150
datap/pmed4.txt,4,100,pmed,MPIF,SW,nobenders,3034,3034,0,0,0,0,0,0,0.123956,101,3034,0,0,4-100
datap/pmed4.txt,4,80,pmed,MPIF,SW,nobenders,3192,3191.716489,0,0,0,0,0,1141,16.519736,102,3192,0,8.88192E-05,4-80
datap/pmed5.txt,5,150,pmed,MPIF,SW,nobenders,1355,1355,0,0,0,0,0,0,0.111519,101,1355,0,0,5-150
datap/pmed5.txt,5,100,pmed,MPIF,SW,nobenders,1359,1359,0,0,0,0,0,0,0.149056,101,1359,0,0,5-100
datap/pmed5.txt,5,80,pmed,MPIF,SW,nobenders,1432,1432,0,0,0,0,0,3,0.28221,101,1432,0,0,5-80
datap/pmed6.txt,6,150,pmed,MPIF,SW,nobenders,8288,8288,0,0,0,0,0,43,15.99457,101,8288,0,0,6-150
datap/pmed6.txt,6,100,pmed,MPIF,SW,nobenders,8288,8288,0,0,0,0,0,62,14.03307,101,8288,0,0,6-100
datap/pmed6.txt,6,80,pmed,MPIF,SW,nobenders,8288,8288,0,0,0,0,0,4,6.827082,101,8288,0,0,6-80
datap/pmed7.txt,7,100,pmed,MPIF,SW,nobenders,5826,5826,0,0,0,0,0,4,6.917843,101,5826,0,0,7-100
datap/pmed7.txt,7,80,pmed,MPIF,SW,nobenders,5826,5826,0,0,0,0,0,8,5.401256,101,5826,0,0,7-80
datap/pmed7.txt,7,50,pmed,MPIF,SW,nobenders,5843,5842.612002,0,0,0,0,0,13,5.80424,102,5843,0,6.64039E-05,7-50
datap/pmed8.txt,8,100,pmed,MPIF,SW,nobenders,4491,4491,0,0,0,0,0,0,0.826491,101,4491,0,0,8-100
datap/pmed8.txt,8,80,pmed,MPIF,SW,nobenders,4510,4510,0,0,0,0,0,0,2.069846,101,4510,0,0,8-80
datap/pmed8.txt,8,50,pmed,MPIF,SW,nobenders,4618,4618,0,0,0,0,0,10,2.364338,101,4618,0,0,8-50
datap/pmed9.txt,9,100,pmed,MPIF,SW,nobenders,2734,2734,0,0,0,0,0,0,0.963026,101,2734,0,0,9-100
datap/pmed9.txt,9,80,pmed,MPIF,SW,nobenders,2758,2758,0,0,0,0,0,0,1.079014,101,2758,0,0,9-80
datap/pmed9.txt,9,50,pmed,MPIF,SW,nobenders,2898,2897.973684,0,0,0,0,0,6,1.853146,102,2898,0,9.08075E-06,9-50
datap/pmed10.txt,10,80,pmed,MPIF,SW,nobenders,1272,1272,0,0,0,0,0,0,0.71218,101,1272,0,0,10-80
datap/pmed10.txt,10,50,pmed,MPIF,SW,nobenders,1356,1356,0,0,0,0,0,0,0.761492,101,1356,0,0,10-50
datap/pmed10.txt,10,25,pmed,MPIF,SW,nobenders,1755,1755,0,0,0,0,0,35,5.624452,101,1755,0,0,10-25
datap/pmed11.txt,11,80,pmed,MPIF,SW,nobenders,7921,7921,0,0,0,0,0,0,7.556416,101,7921,0,0,11-80
datap/pmed11.txt,11,50,pmed,MPIF,SW,nobenders,7921,7921,0,0,0,0,0,0,5.45311,101,7921,0,0,11-50
datap/pmed11.txt,11,25,pmed,MPIF,SW,nobenders,7950,7950,0,0,0,0,0,11,11.1799,101,7950,0,0,11-25
datap/pmed12.txt,12,80,pmed,MPIF,SW,nobenders,6789,6789,0,0,0,0,0,6,27.917718,101,6789,0,0,12-80
datap/pmed12.txt,12,50,pmed,MPIF,SW,nobenders,6789,6789,0,0,0,0,0,5,13.792899,101,6789,0,0,12-50
datap/pmed12.txt,12,25, pmed , MPIF ,SW,nobenders,6944,6943.325855,0,0,0,0,0,4177,2949.804626,102,6944,0,9.70831E-05,12-25
datap/pmed13.txt,13,80,pmed,MPIF,SW,nobenders,4416,4416,0,0,0,0,0,0,4.4116,101,4416,0,0,13-80
datap/pmed13.txt,13,50,pmed,MPIF,SW,nobenders,4422,4422,0,0,0,0,0,0,2.414266,101,4422,0,0,13-50
datap/pmed13.txt,13,25,pmed,MPIF,SW,nobenders,4713,4712.570134,0,0,0,0,0,361,110.09506,102,4713,0,9.12086E-05,13-25
datap/pmed14.txt,14,80,pmed,MPIF,SW,nobenders,2968,2968,0,0,0,0,0,0,5.274655,101,2968,0,0,14-80
datap/pmed14.txt,14,50,pmed,MPIF,SW,nobenders,3033,3033,0,0,0,0,0,0,3.019389,101,3033,0,0,14-50
datap/pmed14.txt,14,25,pmed,MPIF,SW,nobenders,3209,3208.701768,0,0,0,0,0,47,24.378289,102,3209,0,9.29361E-05,14-25
datap/pmed15.txt,15,80,pmed,MPIF,SW,nobenders,1729,1729,0,0,0,0,0,0,3.019668,101,1729,0,0,15-80
datap/pmed15.txt,15,50,pmed,MPIF,SW,nobenders,1731,1731,0,0,0,0,0,0,2.974856,101,1731,0,0,15-50
datap/pmed15.txt,15,25,pmed,MPIF,SW,nobenders,1985,1985,0,0,0,0,0,3,5.958851,101,1985,0,0,15-25
datap/pmed16.txt,16,80,pmed,MPIF,SW,nobenders,8514,8514,0,0,0,0,0,8,99.625911,101,8514,0,0,16-80
datap/pmed16.txt,16,50,pmed,MPIF,SW,nobenders,8514,8514,0,0,0,0,0,20,167.682128,101,8514,0,0,16-50
datap/pmed16.txt,16,25,pmed,MPIF,SW,nobenders,9251,9251,0,0,0,0,0,0,12.38788,101,9251,0,0,16-25
datap/pmed17.txt,17,80,pmed,MPIF,SW,nobenders,7096,7096,0,0,0,0,0,3,44.177991,101,7096,0,0,17-80
datap/pmed17.txt,17,50,pmed,MPIF,SW,nobenders,7096,7096,0,0,0,0,0,8,43.021263,101,7096,0,0,17-50
datap/pmed17.txt,17,25,pmed,MPIF,SW,nobenders,7096,7096,0,0,0,0,0,9,19.26071,101,7096,0,0,17-25
datap/pmed18.txt,18,80,pmed,MPIF,SW,nobenders,4824,4824,0,0,0,0,0,0,64.396013,101,4824,0,0,18-80
datap/pmed18.txt,18,50,pmed,MPIF,SW,nobenders,4824,4824,0,0,0,0,0,0,11.293859,101,4824,0,0,18-50
datap/pmed18.txt,18,25,pmed,MPIF,SW,nobenders,4905,4905,0,0,0,0,0,130,110.941546,101,4905,0,0,18-25
datap/pmed19.txt,19,80,pmed,MPIF,SW,nobenders,2862,2862,0,0,0,0,0,0,12.351027,101,2862,0,0,19-80
datap/pmed19.txt,19,50,pmed,MPIF,SW,nobenders,2862,2862,0,0,0,0,0,0,8.52813,101,2862,0,0,19-50
datap/pmed19.txt,19,25,pmed,MPIF,SW,nobenders,2896,2896,0,0,0,0,0,35,19.436114,101,2896,0,0,19-25
datap/pmed20.txt,20,80,pmed,MPIF,SW,nobenders,1796,1796,0,0,0,0,0,0,6.898458,101,1796,0,0,20-80
