file;instance number;r;R;inst type;problem type;model;algorithm;z;best lp + const;root bound;opened facilities;lazy cuts connectivity;lazy cuts coverage;user cuts coverage;node count;time;status;z*;gap z*;gap z lp;id code;comments
datap/pmed5.txt;5;150;10; pmed ; CPIF ;SZ;nobenders;38;38;0;0;0;0;0;0;0.083846;101;38;0;0;5-150-10;
datap/pmed5.txt;5;150;8; pmed ; CPIF ;SZ;nobenders;44;44;0;0;0;0;0;0;0.143889;101;44;0;0;5-150-8;
datap/pmed5.txt;5;100;20; pmed ; CPIF ;SZ;nobenders;24;24;0;0;0;0;0;0;0.056828;101;24;0;0;5-100-20;
datap/pmed5.txt;5;100;15; pmed ; CPIF ;SZ;nobenders;33;33;0;0;0;0;0;0;0.124721;101;33;0;0;5-100-15;
datap/pmed5.txt;5;100;12; pmed ; CPIF ;SZ;nobenders;36;36;0;0;0;0;0;0;0.105384;101;36;0;0;5-100-12;
datap/pmed5.txt;5;100;10; pmed ; CPIF ;SZ;nobenders;38;38;0;0;0;0;0;0;0.046286;101;38;0;0;5-100-10;
datap/pmed5.txt;5;100;8; pmed ; CPIF ;SZ;nobenders;44;44;0;0;0;0;0;0;0.077606;101;44;0;0;5-100-8;
datap/pmed5.txt;5;80;20; pmed ; CPIF ;SZ;nobenders;24;24;0;0;0;0;0;0;0.111444;101;24;0;0;5-80-20;
datap/pmed5.txt;5;80;15; pmed ; CPIF ;SZ;nobenders;33;33;0;0;0;0;0;0;0.107038;101;33;0;0;5-80-15;
datap/pmed5.txt;5;80;12; pmed ; CPIF ;SZ;nobenders;36;36;0;0;0;0;0;0;0.035582;101;36;0;0;5-80-12;
datap/pmed5.txt;5;80;10; pmed ; CPIF ;SZ;nobenders;38;38;0;0;0;0;0;0;0.040345;101;38;0;0;5-80-10;
datap/pmed5.txt;5;80;8; pmed ; CPIF ;SZ;nobenders;44;44;0;0;0;0;0;0;0.161407;101;44;0;0;5-80-8;
datap/pmed6.txt;6;150;20; pmed ; CPIF ;SZ;nobenders;157;157;0;0;0;0;0;0;0.082114;101;157;0;0;6-150-20;
datap/pmed6.txt;6;150;15; pmed ; CPIF ;SZ;nobenders;166;166;0;0;0;0;0;0;0.080962;101;166;0;0;6-150-15;
datap/pmed6.txt;6;150;12; pmed ; CPIF ;SZ;nobenders;171;171;0;0;0;0;0;0;0.140056;101;171;0;0;6-150-12;
datap/pmed6.txt;6;150;10; pmed ; CPIF ;SZ;nobenders;176;176;0;0;0;0;0;0;0.083707;101;176;0;0;6-150-10;
datap/pmed6.txt;6;150;8; pmed ; CPIF ;SZ;nobenders;180;180;0;0;0;0;0;0;0.195494;101;180;0;0;6-150-8;
datap/pmed6.txt;6;100;20; pmed ; CPIF ;SZ;nobenders;157;157;0;0;0;0;0;0;0.353077;101;157;0;0;6-100-20;
datap/pmed6.txt;6;100;15; pmed ; CPIF ;SZ;nobenders;166;166;0;0;0;0;0;0;0.257519;101;166;0;0;6-100-15;
datap/pmed6.txt;6;100;12; pmed ; CPIF ;SZ;nobenders;171;171;0;0;0;0;0;0;0.115645;101;171;0;0;6-100-12;
datap/pmed6.txt;6;100;10; pmed ; CPIF ;SZ;nobenders;176;176;0;0;0;0;0;0;0.594451;101;176;0;0;6-100-10;
datap/pmed6.txt;6;100;8; pmed ; CPIF ;SZ;nobenders;180;180;0;0;0;0;0;0;0.070688;101;180;0;0;6-100-8;
