file,na,r,mpif,model,na,sol,z,bestlp,root,cuts,cuts,cuts,cuts,nodecount,time,status,gap,n_clients
GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat,NA,3.4,MPIF,MW,nobenders,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3605.125,lpstatus: 108,1,100000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat,NA,3.4,MPIF,MW,nobenders,-9.25596E+61,-9.25596E+61,0,-9.25596E+61,0,0,0,0,0,3610.142,lpstatus: 108,1,100000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat,NA,5.5,MPIF,SW,nobenders,81963.46559,81963.46559,81963.46559,-9.25596E+61,0,0,0,0,0,1.978,lpstatus: 101,0,1000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat,NA,5.5,MPIF,SW,nobenders,96075.88835,96075.88835,96075.88835,-9.25596E+61,0,0,0,0,0,1.934,lpstatus: 101,0,1000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat,NA,5.5,MPIF,SW,nobenders,805234.2126,805234.2126,805234.2126,-9.25596E+61,0,0,0,0,0,88.039,lpstatus: 101,0,10000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat,NA,5.5,MPIF,SW,nobenders,891619.1308,891619.1308,891619.1308,-9.25596E+61,0,0,0,0,0,82.419,lpstatus: 101,0,10000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat,NA,5.5,MPIF,SW,nobenders,7933101.456,7933101.456,7933101.456,-9.25596E+61,0,0,0,0,0,1500.992,lpstatus: 101,0,100000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat,NA,5.5,MPIF,SW,nobenders,8937077.199,8937077.199,8937077.199,-9.25596E+61,0,0,0,0,0,1487.526,lpstatus: 101,0,100000
GRID_PSCLP_n100_m5000_d1_100_f10_100_s1.dat,NA,5.5,MPIF,SW,nobenders,407752.5278,407752.5278,407752.5278,-9.25596E+61,0,0,0,0,0,36.686,lpstatus: 101,0,5000
GRID_PSCLP_n100_m5000_d1_100_f10_100_s5.dat,NA,5.5,MPIF,SW,nobenders,442094.856,442094.856,442094.856,-9.25596E+61,0,0,0,0,0,36.719,lpstatus: 101,0,5000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat,NA,5.5,MPIF,SW,nobenders,3970918.151,3970918.151,3970918.151,-9.25596E+61,0,0,0,0,0,630.152,lpstatus: 101,0,50000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat,NA,5.5,MPIF,SW,nobenders,4462776.955,4462776.955,4462776.955,-9.25596E+61,0,0,0,0,0,623.855,lpstatus: 101,0,50000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat, NA ,3.4, MPIF ,NW, nobenders ,20373346.09,20373346.09,20373346.09,-9.25596E+61,19,0,0,0,0,339.652,lpstatus: 101,0,50000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat, NA ,3.4, MPIF ,NW, nobenders ,38916346.98,38916346.98,38916346.98,-9.25596E+61,8,0,0,0,0,259.835,lpstatus: 101,0,50000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat, NA ,3.4, MPIF ,NW, nobenders ,40748329.88,40748329.88,40748329.88,-9.25596E+61,19,0,0,0,0,760.849,lpstatus: 101,0,100000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat, NA ,3.4, MPIF ,NW, nobenders ,78206284.64,78206284.64,78206284.64,-9.25596E+61,8,0,0,0,0,594.756,lpstatus: 101,0,100000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,NW, nobenders ,3970918.151,3970918.151,3970918.151,-9.25596E+61,100,0,0,0,0,645.392,lpstatus: 101,0,50000
GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,NW, nobenders ,4462776.955,4462776.955,4462776.955,-9.25596E+61,97,0,0,0,0,632.868,lpstatus: 101,0,50000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,NW, nobenders ,7933101.456,7933101.456,7933101.456,-9.25596E+61,100,0,0,0,0,1507.425,lpstatus: 101,0,100000
GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,NW, nobenders ,8937077.199,8937077.199,8937077.199,-9.25596E+61,97,0,0,0,0,1506.183,lpstatus: 101,0,100000
GRID_MCLP_n100_m1000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,SW, nobenders ,401206.9859,401206.9859,401206.9859,-9.25596E+61,0,0,0,0,0,3.508,lpstatus: 101,0,1000
GRID_MCLP_n100_m1000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,SW, nobenders ,792613.5389,792613.5389,792613.5389,-9.25596E+61,0,0,0,0,0,6.811,lpstatus: 101,0,1000
GRID_MCLP_n100_m5000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,SW, nobenders ,2007581.847,2007581.847,2007581.847,-9.25596E+61,0,0,0,0,0,89.444,lpstatus: 101,0,5000
GRID_MCLP_n100_m5000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,SW, nobenders ,3831869.881,3831869.881,3831869.881,-9.25596E+61,0,0,0,0,0,170.063,lpstatus: 101,0,5000
GRID_MCLP_n100_m10000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,SW, nobenders ,4062194.872,4062194.872,4062194.872,-9.25596E+61,0,0,0,0,0,310.922,lpstatus: 101,0,10000
GRID_MCLP_n100_m10000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,SW, nobenders ,7715671.15,7715671.15,7715671.15,-9.25596E+61,0,0,0,0,0,562.809,lpstatus: 101,0,10000
